"Date","Price","Open","High","Low","Vol.","Change %"
"09/07/2017","5,114.62","5,118.84","5,148.06","5,103.15","87.49M","0.26%"
"09/06/2017","5,101.41","5,054.32","5,114.29","5,050.09","178.50M","0.29%"
"09/05/2017","5,086.56","5,107.19","5,125.80","5,081.08","74.38M","-0.34%"
"09/04/2017","5,103.97","5,088.28","5,114.70","5,088.28","45.54M","-0.38%"
"09/01/2017","5,123.26","5,117.19","5,138.42","5,115.95","78.12M","0.74%"
"08/31/2017","5,085.59","5,083.12","5,104.78","5,068.44","111.54M","0.58%"
"08/30/2017","5,056.34","5,063.24","5,069.12","5,046.07","63.60M","0.49%"
"08/29/2017","5,031.92","5,035.38","5,041.89","4,995.07","86.25M","-0.94%"
"08/28/2017","5,079.75","5,076.47","5,106.25","5,066.01","38.32M","-0.48%"
"08/25/2017","5,104.33","5,121.48","5,141.05","5,098.51","58.97M","-0.17%"
"08/24/2017","5,113.13","5,127.71","5,136.30","5,111.86","57.28M","-0.04%"
"08/23/2017","5,115.39","5,125.03","5,149.08","5,105.55","60.47M","-0.32%"
"08/22/2017","5,131.86","5,112.13","5,137.54","5,101.68","59.04M","0.87%"
"08/21/2017","5,087.59","5,091.31","5,105.94","5,066.19","60.93M","-0.52%"
"08/18/2017","5,114.15","5,103.47","5,117.04","5,074.45","75.73M","-0.64%"
"08/17/2017","5,146.85","5,164.54","5,180.26","5,137.42","66.54M","-0.57%"
"08/16/2017","5,176.61","5,159.10","5,200.16","5,159.10","57.67M","0.71%"
"08/15/2017","5,140.25","5,141.02","5,158.50","5,123.97","49.56M","0.36%"
"08/14/2017","5,121.67","5,082.87","5,136.19","5,080.01","59.06M","1.20%"
"08/11/2017","5,060.92","5,081.92","5,086.06","5,046.75","88.84M","-1.06%"
"08/10/2017","5,115.23","5,140.99","5,148.47","5,096.19","74.01M","-0.59%"
"08/09/2017","5,145.70","5,182.05","5,183.37","5,122.50","87.20M","-1.40%"
"08/08/2017","5,218.89","5,200.20","5,231.65","5,191.38","63.98M","0.21%"
"08/07/2017","5,207.89","5,210.73","5,220.59","5,195.26","65.76M","0.09%"
"08/04/2017","5,203.44","5,122.40","5,216.40","5,118.61","81.00M","1.42%"
"08/03/2017","5,130.49","5,097.14","5,142.91","5,084.20","73.37M","0.46%"
"08/02/2017","5,107.25","5,122.38","5,135.14","5,094.64","84.54M","-0.39%"
"08/01/2017","5,127.03","5,116.90","5,148.49","5,087.38","77.66M","0.65%"
"07/31/2017","5,093.77","5,127.63","5,148.15","5,092.14","90.32M","-0.73%"
"07/28/2017","5,131.39","5,144.03","5,144.03","5,105.72","102.95M","-1.07%"
"07/27/2017","5,186.95","5,181.15","5,218.56","5,172.78","102.54M","-0.06%"
"07/26/2017","5,190.17","5,162.24","5,208.33","5,158.79","81.56M","0.56%"
"07/25/2017","5,161.08","5,130.53","5,193.19","5,130.53","93.98M","0.65%"
"07/24/2017","5,127.70","5,133.68","5,143.48","5,094.36","74.28M","0.20%"
"07/21/2017","5,117.66","5,188.92","5,208.85","5,095.12","109.69M","-1.57%"
"07/20/2017","5,199.22","5,239.46","5,251.25","5,177.73","81.21M","-0.32%"
"07/19/2017","5,216.07","5,196.13","5,218.99","5,174.29","71.44M","0.83%"
"07/18/2017","5,173.27","5,219.67","5,233.15","5,164.63","78.13M","-1.09%"
"07/17/2017","5,230.17","5,238.41","5,246.23","5,214.31","55.65M","-0.10%"
"07/14/2017","5,235.31","5,246.20","5,246.78","5,215.98","61.95M","0.00%"
"07/13/2017","5,235.40","5,228.93","5,259.47","5,221.58","78.06M","0.25%"
"07/12/2017","5,222.13","5,158.23","5,239.02","5,157.84","86.10M","1.59%"
"07/11/2017","5,140.60","5,172.03","5,186.44","5,135.95","66.88M","-0.48%"
"07/10/2017","5,165.64","5,160.70","5,179.34","5,147.67","62.88M","0.40%"
"07/07/2017","5,145.16","5,149.79","5,155.42","5,125.99","77.02M","-0.14%"
"07/06/2017","5,152.40","5,177.21","5,177.62","5,111.16","93.98M","-0.53%"
"07/05/2017","5,180.10","5,174.79","5,192.51","5,160.86","87.90M","0.10%"
"07/04/2017","5,174.90","5,170.54","5,197.81","5,165.86","58.02M","-0.40%"
"07/03/2017","5,195.72","5,151.19","5,200.73","5,151.19","78.74M","1.47%"
"06/30/2017","5,120.68","5,157.59","5,192.39","5,117.23","100.13M","-0.65%"
"06/29/2017","5,154.35","5,268.23","5,272.94","5,143.82","118.15M","-1.88%"
"06/28/2017","5,252.90","5,235.83","5,273.95","5,203.90","99.36M","-0.11%"
"06/27/2017","5,258.58","5,282.87","5,284.96","5,237.67","93.07M","-0.70%"
"06/26/2017","5,295.75","5,295.04","5,323.73","5,289.56","69.15M","0.56%"
"06/23/2017","5,266.12","5,273.24","5,283.88","5,247.52","68.76M","-0.30%"
"06/22/2017","5,281.93","5,259.55","5,286.46","5,232.82","83.18M","0.15%"
"06/21/2017","5,274.26","5,273.00","5,286.06","5,224.05","85.75M","-0.37%"
"06/20/2017","5,293.65","5,330.58","5,339.55","5,293.65","83.76M","-0.32%"
"06/19/2017","5,310.72","5,305.22","5,331.32","5,302.05","79.93M","0.90%"
"06/16/2017","5,263.31","5,243.53","5,273.68","5,236.00","169.17M","0.89%"
"06/15/2017","5,216.88","5,235.36","5,235.88","5,176.67","121.97M","-0.50%"
"06/14/2017","5,243.29","5,283.60","5,314.96","5,243.29","100.02M","-0.35%"
"06/13/2017","5,261.74","5,254.14","5,273.87","5,248.29","74.63M","0.40%"
"06/12/2017","5,240.59","5,282.58","5,286.10","5,233.69","88.18M","-1.12%"
"06/09/2017","5,299.71","5,275.99","5,320.17","5,266.83","82.36M","0.67%"
"06/08/2017","5,264.24","5,264.69","5,290.50","5,250.68","87.68M","-0.02%"
"06/07/2017","5,265.53","5,261.42","5,320.04","5,254.03","97.13M","-0.07%"
"06/06/2017","5,269.22","5,280.20","5,296.42","5,260.95","82.35M","-0.73%"
"06/05/2017","5,307.89","5,337.11","5,343.79","5,299.76","50.45M","-0.66%"
"06/02/2017","5,343.41","5,347.86","5,372.97","5,328.19","98.58M","0.47%"
"06/01/2017","5,318.67","5,290.84","5,327.60","5,287.99","86.80M","0.66%"
"05/31/2017","5,283.63","5,306.21","5,334.57","5,283.63","148.12M","-0.42%"
"05/30/2017","5,305.94","5,291.08","5,309.36","5,273.56","80.54M","-0.50%"
"05/29/2017","5,332.47","5,327.73","5,335.78","5,316.69","44.33M","-0.08%"
"05/26/2017","5,336.64","5,328.86","5,336.76","5,282.42","79.31M","-0.01%"
"05/25/2017","5,337.16","5,360.97","5,366.70","5,323.11","68.30M","-0.08%"
"05/24/2017","5,341.34","5,336.98","5,353.01","5,326.59","82.13M","-0.13%"
"05/23/2017","5,348.16","5,317.12","5,368.88","5,314.48","88.18M","0.47%"
"05/22/2017","5,322.88","5,335.12","5,339.41","5,315.23","75.80M","-0.03%"
"05/19/2017","5,324.40","5,299.40","5,334.45","5,292.12","112.07M","0.66%"
"05/18/2017","5,289.73","5,309.91","5,322.70","5,238.51","128.58M","-0.53%"
"05/17/2017","5,317.89","5,375.84","5,394.88","5,297.43","122.63M","-1.63%"
"05/16/2017","5,406.10","5,398.15","5,417.17","5,389.87","98.47M","-0.21%"
"05/15/2017","5,417.40","5,411.27","5,417.40","5,384.54","100.55M","0.22%"
"05/12/2017","5,405.42","5,386.79","5,405.42","5,375.48","163.31M","0.41%"
"05/11/2017","5,383.42","5,409.90","5,409.99","5,356.41","128.83M","-0.32%"
"05/10/2017","5,400.46","5,398.81","5,402.34","5,377.75","103.15M","0.05%"
"05/09/2017","5,398.01","5,404.14","5,413.60","5,394.13","106.37M","0.28%"
"05/08/2017","5,382.95","5,442.10","5,442.10","5,374.20","119.73M","-0.91%"
"05/05/2017","5,432.40","5,344.92","5,432.40","5,343.02","142.82M","1.12%"
"05/04/2017","5,372.42","5,309.39","5,372.42","5,304.46","157.25M","1.35%"
"05/03/2017","5,301.00","5,299.74","5,301.61","5,282.45","100.87M","-0.06%"
"05/02/2017","5,304.15","5,284.88","5,305.95","5,274.29","107.85M","0.70%"
"04/28/2017","5,267.33","5,267.66","5,287.85","5,265.36","126.44M","-0.08%"
"04/27/2017","5,271.70","5,276.97","5,278.96","5,261.73","117.47M","-0.31%"
"04/26/2017","5,287.88","5,272.86","5,296.52","5,270.32","123.73M","0.19%"
"04/25/2017","5,277.88","5,274.36","5,293.39","5,259.63","119.16M","0.17%"
"04/24/2017","5,268.85","5,267.88","5,295.47","5,228.54","235.87M","4.14%"
"04/21/2017","5,059.20","5,063.36","5,081.61","5,029.06","170.50M","-0.37%"
"04/20/2017","5,077.91","4,992.47","5,093.60","4,989.26","138.85M","1.48%"
"04/19/2017","5,003.73","4,987.29","5,011.33","4,980.41","116.00M","0.27%"
"04/18/2017","4,990.25","5,078.25","5,080.03","4,990.25","144.50M","-1.59%"
"04/13/2017","5,071.10","5,090.48","5,090.48","5,062.32","100.30M","-0.59%"
"04/12/2017","5,101.11","5,114.50","5,142.81","5,093.98","103.23M","-0.01%"
"04/11/2017","5,101.86","5,086.61","5,119.18","5,068.25","96.50M","-0.11%"
"04/10/2017","5,107.45","5,127.36","5,127.36","5,097.56","72.33M","-0.54%"
"04/07/2017","5,135.28","5,104.73","5,135.28","5,098.05","87.40M","0.27%"
"04/06/2017","5,121.44","5,063.62","5,126.74","5,051.61","91.36M","0.58%"
"04/05/2017","5,091.85","5,104.71","5,123.78","5,087.68","86.74M","-0.18%"
"04/04/2017","5,101.13","5,087.60","5,101.13","5,076.35","86.64M","0.30%"
"04/03/2017","5,085.91","5,130.18","5,132.93","5,083.14","84.16M","-0.71%"
"03/31/2017","5,122.51","5,077.30","5,122.51","5,067.74","106.57M","0.65%"
"03/30/2017","5,089.64","5,075.61","5,090.92","5,063.07","76.17M","0.41%"
"03/29/2017","5,069.04","5,063.70","5,073.23","5,044.42","89.08M","0.45%"
"03/28/2017","5,046.20","5,027.13","5,048.11","5,008.67","87.99M","0.57%"
"03/27/2017","5,017.43","4,975.09","5,017.88","4,971.07","96.99M","-0.07%"
"03/24/2017","5,020.90","5,027.19","5,027.19","5,003.58","71.10M","-0.24%"
"03/23/2017","5,032.76","4,996.62","5,032.94","4,980.56","92.07M","0.76%"
"03/22/2017","4,994.70","4,969.11","5,005.06","4,953.57","102.48M","-0.15%"
"03/21/2017","5,002.43","5,030.20","5,054.91","4,990.64","96.44M","-0.19%"
"03/20/2017","5,012.16","5,008.08","5,030.06","5,004.08","66.21M","-0.34%"
"03/17/2017","5,029.24","5,006.71","5,037.85","5,001.39","165.12M","0.32%"
"03/16/2017","5,013.38","5,027.10","5,031.57","5,004.62","116.62M","0.56%"
"03/15/2017","4,985.48","4,980.05","4,989.30","4,966.05","84.42M","0.23%"
"03/14/2017","4,974.26","5,006.05","5,006.05","4,958.88","94.63M","-0.51%"
"03/13/2017","4,999.60","4,997.88","5,013.08","4,986.06","86.62M","0.13%"
"03/10/2017","4,993.32","4,994.00","5,022.10","4,990.15","107.01M","0.24%"
"03/09/2017","4,981.51","4,950.53","4,988.63","4,939.87","118.01M","0.42%"
"03/08/2017","4,960.48","4,941.18","4,976.04","4,933.77","84.88M","0.11%"
"03/07/2017","4,955.00","4,974.79","4,974.79","4,941.26","82.30M","-0.35%"
"03/06/2017","4,972.19","4,983.96","4,985.24","4,960.26","93.22M","-0.46%"
"03/03/2017","4,995.13","4,953.30","5,002.32","4,948.72","108.60M","0.63%"
"03/02/2017","4,963.80","4,965.27","4,972.88","4,955.41","110.14M","0.06%"
"03/01/2017","4,960.83","4,897.48","4,970.64","4,897.48","123.97M","2.10%"
"02/28/2017","4,858.58","4,862.65","4,865.95","4,836.53","99.70M","0.28%"
"02/27/2017","4,845.18","4,864.13","4,869.51","4,833.77","92.04M","0.00%"
"02/24/2017","4,845.24","4,886.51","4,890.11","4,806.49","120.80M","-0.94%"
"02/23/2017","4,891.29","4,900.80","4,916.44","4,880.49","111.16M","-0.09%"
"02/22/2017","4,895.88","4,899.65","4,922.64","4,866.12","102.31M","0.15%"
"02/21/2017","4,888.76","4,865.89","4,900.38","4,849.91","86.33M","0.49%"
"02/20/2017","4,864.99","4,894.25","4,901.41","4,856.12","70.53M","-0.05%"
"02/17/2017","4,867.58","4,896.97","4,903.16","4,843.01","106.15M","-0.65%"
"02/16/2017","4,899.46","4,925.54","4,928.25","4,890.48","94.30M","-0.52%"
"02/15/2017","4,924.86","4,910.57","4,932.35","4,902.16","99.43M","0.59%"
"02/14/2017","4,895.82","4,887.23","4,897.89","4,878.79","98.75M","0.16%"
"02/13/2017","4,888.19","4,844.22","4,906.71","4,841.60","105.16M","1.24%"
