"Date","Price","Open","High","Low","Vol.","Change %"
"11/28/2007","15,153.78","15,271.14","15,280.91","15,089.35","","-0.45%"
"11/27/2007","15,222.85","14,953.93","15,312.55","14,801.87","","0.58%"
"11/26/2007","15,135.21","14,921.57","15,295.21","14,912.83","","1.66%"
"11/22/2007","14,888.77","14,726.62","15,000.18","14,669.85","","0.34%"
"11/21/2007","14,837.66","15,113.83","15,154.31","14,770.22","","-2.46%"
"11/20/2007","15,211.52","14,868.98","15,222.24","14,751.27","","1.12%"
"11/19/2007","15,042.56","15,177.17","15,302.76","15,040.10","","-0.74%"
"11/16/2007","15,154.61","15,238.73","15,238.73","15,030.02","","-1.57%"
"11/15/2007","15,396.30","15,536.35","15,587.31","15,396.30","","-0.67%"
"11/14/2007","15,499.56","15,311.38","15,504.99","15,287.26","","2.47%"
"11/13/2007","15,126.63","15,148.16","15,235.56","14,988.77","","-0.46%"
"11/12/2007","15,197.09","15,377.37","15,386.80","14,998.51","","-2.48%"
"11/09/2007","15,583.42","15,675.48","15,834.97","15,566.12","","-1.19%"
"11/08/2007","15,771.57","15,889.03","15,891.23","15,626.06","","-2.02%"
"11/07/2007","16,096.68","16,325.18","16,326.58","16,081.03","","-0.94%"
"11/06/2007","16,249.63","16,152.58","16,353.93","16,144.40","","-0.12%"
"11/05/2007","16,268.92","16,458.14","16,458.14","16,211.79","","-1.50%"
"11/02/2007","16,517.48","16,647.40","16,654.73","16,484.54","","-2.09%"
